teamName,fieldGoals,fieldGoalAttempts,passesCompleted,passAttempts,wins
Arizona Cardinals,30,37,415,591,11
Atlanta Falcons,27,29,377,573,7
Baltimore Ravens,35,37,396,611,8
Buffalo Bills,28,32,415,655,11
Carolina Panthers,26,29,348,599,5
Chicago Bears,26,30,332,542,6
Cincinnati Bengals,29,34,384,555,10
Cleveland Browns,16,22,320,520,8
Dallas Cowboys,29,35,444,647,12
Denver Broncos,26,31,354,541,7
Detroit Lions,26,30,396,593,3
Green Bay Packers,25,34,402,593,13
Houston Texans,21,27,354,546,4
Indianapolis Colts,29,35,324,521,9
Jacksonville Jaguars,21,27,361,604,3
Kansas City Chiefs,28,32,448,675,12
Las Vegas Raiders,40,43,429,628,10
Los Angeles Chargers,24,27,443,674,9
Los Angeles Rams,32,34,406,607,12
Miami Dolphins,23,31,404,615,9
Minnesota Vikings,33,38,398,604,8
New England Patriots,36,39,364,535,10
New Orleans Saints,25,30,293,504,9
New York Giants,29,33,351,593,4
New York Jets,21,27,357,603,4
Philadelphia Eagles,30,33,307,494,9
Pittsburgh Steelers,36,40,425,664,9
San Francisco 49ers,27,32,343,514,10
Seattle Seahawks,17,23,324,495,7
Tampa Bay Buccaneers,25,31,492,731,13
Tennessee Titans,26,32,359,535,12
Washington Football Team,28,33,356,550,7
