teamName,goalsFor,shotsOnGoal,goalsAgainst,shotsAgainst,wins
Florida Panthers,337,3062,242,2515,58
Colorado Avalanche,308,2874,232,2625,56
Carolina Hurricanes,277,2798,200,2310,54
Toronto Maple Leafs,312,2835,252,2511,54
Minnesota Wild,305,2666,249,2577,53
Calgary Flames,291,2908,206,2374,50
Tampa Bay Lightning,285,2535,228,2441,51
New York Rangers,250,2392,204,2528,52
St. Louis Blues,309,2492,239,2591,49
Boston Bruins,253,2962,218,2354,51
Edmonton Oilers,285,2790,251,2647,49
Pittsburgh Penguins,269,2849,222,2576,46
Washington Capitals,270,2577,242,2378,44
Los Angeles Kings,235,2865,232,2341,44
Dallas Stars,233,2486,244,2545,46
Nashville Predators,262,2439,250,2646,45
Vegas Golden Knights,262,2830,244,2458,43
Vancouver Canucks,246,2622,231,2612,40
Winnipeg Jets,250,2645,253,2721,39
New York Islanders,229,2367,231,2669,37
Columbus Blue Jackets,258,2463,297,2887,37
San Jose Sharks,211,2400,261,2622,32
Anaheim Ducks,228,2393,266,2725,31
Buffalo Sabres,229,2451,287,2702,32
Detroit Red Wings,227,2414,310,2761,32
Ottawa Senators,224,2463,264,2740,33
Chicago Blackhawks,213,2362,289,2703,28
New Jersey Devils,245,2562,302,2540,27
Philadelphia Flyers,210,2539,294,2785,25
Seattle Kraken,213,2380,284,2367,27
Arizona Coyotes,206,2121,309,2910,25
Montreal Canadiens,218,2442,317,2823,22
,,,,,
