Team,fieldGoal,fieldGoalAttempt,wins,,
Milwaukee Bucks,3221,6610,46,,
Brooklyn Nets,3106,6289,48,,
Washington Wizards,3108,6547,34,,
Utah Jazz,2971,6344,52,,
Portland Trail Blazers,2973,6558,42,,
Indiana Pacers,3115,6567,34,,
Phoenix Suns,3118,6357,51,,
Denver Nuggets,3114,6422,47,,
New Orleans Pelicans,3060,6412,31,,
Los Angeles Clippers,3009,6242,47,,
Sacramento Kings,3067,6382,31,,
Golden State Warriors,2973,6347,39,,
Atlanta Hawks,2937,6281,41,,
Philadelphia 76ers,2981,6257,49,,
Memphis Grizzlies,3085,6608,38,,
Boston Celtics,2985,6401,36,,
Dallas Mavericks,2958,6287,42,,
Minnesota Timberwolves,2932,6546,23,,
Toronto Raptors,2859,6383,27,,
San Antonio Spurs,3014,6518,33,,
Chicago Bulls,3035,6380,31,,
Los Angeles Lakers,2925,6197,42,,
Charlotte Hornets,2875,6324,33,,
Houston Rockets,2826,6372,17,,
Miami Heat,2824,6029,40,,
New York Knicks,2839,6225,41,,
Detroit Pistons,2783,6162,20,,
Oklahoma City Thunder,2795,6338,22,,
Orlando Magic,2754,6423,21,,
Cleveland Cavaliers,2778,6175,22,,
,,,,,
